label_i,label_j,delta_ipr,w1
ER p=0.08,RGG k=3,0.11692529113090076,0.34365837778433633
ER p=0.08,RGG k=5,0.04838796388782406,0.23409182661182393
ER p=0.08,RGG k=7,0.024154804086332013,0.17489087887226598
ER p=0.08,RGG k=10,0.011136340909104975,0.12388810605839258
ER p=0.08,SBM q=0.2,4.081630108914141e-05,0.021283162652652468
ER p=0.08,SBM q=0.5,6.562642087267357e-05,0.004568744135039205
ER p=0.08,SBM q=1.0,3.5379110424746917e-05,0.017642317366551735
ER p=0.08,Gauss k=5,0.06916814676278972,0.26116612801173567
ER p=0.08,Gauss k=10,0.029303519048042174,0.13117727349754874
ER p=0.08,Mix k=5,0.05463144268399713,0.24469915308091628
ER p=0.08,Star,0.15659400565747064,0.1460902345310055
ER p=0.15,ER p=0.3,1.6113784591396084e-05,0.0366728119775716
ER p=0.15,RGG k=3,0.1168955563271399,0.3847039963638699
ER p=0.15,RGG k=5,0.04835822908406319,0.2708977366488429
ER p=0.15,RGG k=7,0.02412506928257114,0.2075298924485612
ER p=0.15,RGG k=10,0.011106606105344103,0.15144943693800095
ER p=0.15,SBM q=0.2,1.1081497328268436e-05,0.06461493714604448
ER p=0.15,SBM q=0.5,3.58916171118006e-05,0.04779445466262689
ER p=0.15,SBM q=1.0,5.644306663873944e-06,0.025717317981672552
ER p=0.15,Gauss k=5,0.06913841195902885,0.29847530756847374
ER p=0.15,Gauss k=10,0.0292737842442813,0.160268025953837
ER p=0.15,Mix k=5,0.05460170788023626,0.2828756542224933
ER p=0.15,Star,0.15656427085370975,0.10324356690122401
ER p=0.3,RGG k=3,0.1168794425425485,0.4196175383181417
ER p=0.3,RGG k=5,0.04834211529947179,0.30269085224022807
ER p=0.3,RGG k=7,0.024108955497979742,0.2364998375414947
ER p=0.3,RGG k=10,0.011090492320752706,0.17677814213989224
ER p=0.3,SBM q=0.2,5.032287263127648e-06,0.10128182734987615
ER p=0.3,SBM q=0.5,1.9777832520404513e-05,0.08444712899822915
ER p=0.3,SBM q=1.0,1.046947792752214e-05,0.06237942800196934
ER p=0.3,Gauss k=5,0.06912229817443746,0.3306761635474574
ER p=0.3,Gauss k=10,0.029257670459689904,0.1869298753161247
ER p=0.3,Mix k=5,0.05458559409564486,0.31566909486773037
ER p=0.3,Star,0.15654815706911837,0.06701637335770919
RGG k=3,RGG k=5,0.0685373272430767,0.13794814381331078
RGG k=3,RGG k=7,0.09277048704456875,0.21020051001593626
RGG k=3,RGG k=10,0.1057889502217958,0.2750398851669406
RGG k=3,SBM q=0.2,0.11688447482981162,0.323750270939762
RGG k=3,SBM q=0.5,0.1168596647100281,0.3393314510868622
RGG k=3,SBM q=1.0,0.11688991202047602,0.36031381783830146
RGG k=3,Gauss k=5,0.04775714436811104,0.10933801622375955
RGG k=3,Gauss k=10,0.0876217720828586,0.2589753617619629
RGG k=3,Mix k=5,0.06229384844690364,0.11533523963632425
RGG k=3,Star,0.039668714526569865,0.4813433969460971
RGG k=5,RGG k=7,0.02423315980149205,0.07520323004686305
RGG k=5,RGG k=10,0.03725162297871909,0.14299062939269044
RGG k=5,SBM q=0.2,0.04834714758673492,0.2163352968651902
RGG k=5,SBM q=0.5,0.04832233746695139,0.22996704008506202
RGG k=5,SBM q=1.0,0.048352584777399316,0.24887378636720886
RGG k=5,Gauss k=5,0.020780182874965664,0.03624844280411541
RGG k=5,Gauss k=10,0.01908444483978189,0.12765126083096373
RGG k=5,Mix k=5,0.006243478796173069,0.03169376157692952
RGG k=5,Star,0.10820604176964657,0.36095272569507936
RGG k=7,RGG k=10,0.013018463177227036,0.06814373900437326
RGG k=7,SBM q=0.2,0.02411398778524287,0.1591212310416269
RGG k=7,SBM q=0.5,0.024089177665459337,0.17123702443854846
RGG k=7,SBM q=1.0,0.024119424975907265,0.18785430325759528
RGG k=7,Gauss k=5,0.045013342676457714,0.10833010850990103
RGG k=7,Gauss k=10,0.005148714961710162,0.054160569374985056
RGG k=7,Mix k=5,0.03047663859766512,0.09670304045873263
RGG k=7,Star,0.13243920157113862,0.2917689624277428
RGG k=10,SBM q=0.2,0.011095524608015835,0.11884032708373214
RGG k=10,SBM q=0.5,0.0110707144882323,0.12126664706710429
