city_a,city_b,similarity_low,similarity_mid,similarity_high,iso_a,iso_b
Capital DC,Nextbike Praha,0.8716791071068581,0.9455485019646364,0.8731805298137562,US,CZ
Capital DC,BiciMAD Madrid,0.6618340842170222,0.9466611673361155,0.5820992811897361,US,ES
Capital DC,Bicing Barcelona,0.5813756338745859,0.9425642883112757,0.5090515787179373,US,ES
Capital DC,Valenbisi València,0.5966137458442269,0.85709792145842,0.8556763887872956,US,ES
Capital DC,BikeMi Milan,0.6185438469252097,0.9166803065737045,0.54602348937435,US,IT
Capital DC,Villo Bruxelles,0.5542846843909963,0.9046796634838984,0.3755397730303771,US,BE
Capital DC,Velo Antwerpen,0.5428589837191151,0.9316475777465423,0.333963539937669,US,BE
Capital DC,Metrorower,0.848673479792317,0.9313123162453508,0.9158260616763733,US,PL
Capital DC,Mevo Gdańsk,0.8773856892310099,0.9237894543290168,0.9222568409893591,US,PL
Capital DC,Velospot CH,0.8183920646300942,0.9341001092423821,0.8412951386633477,US,CH
Capital DC,Ecobici Ciudad de Mexico,0.5740196953286768,0.906950826064049,0.28830753616336635,US,MX
Capital DC,Ecobici Buenos Aires,0.571384372686885,0.8543239064576633,0.4167732396239147,US,AR
Capital DC,Bike Itaú Rio,0.840055646873069,0.9457851314715762,0.9610523839345817,US,BR
Bay Wheels SF,Bluebikes Boston,0.8839594693190942,0.9562972382470059,0.7324342314429132,US,US
Bay Wheels SF,Biketown Portland,0.7996449800742752,0.9460387813262193,0.45135766694459734,US,US
Bay Wheels SF,BIXI Montréal,0.9131580612072778,0.8790557238158595,0.7993599688065262,US,CA
Bay Wheels SF,Bike Share Toronto,0.9169897705090356,0.9576186390523947,0.8211277289645347,US,CA
Bay Wheels SF,Vélib Paris,0.7500055858481859,0.8058718530664113,0.7992662245033624,US,FR
Bay Wheels SF,Vélo'v Lyon,0.8966694457970322,0.91341245212213,0.7467578028622353,US,FR
Bay Wheels SF,VéLÔ Toulouse,0.762596718623596,0.9541588961840842,0.9596297049795197,US,FR
Bay Wheels SF,Le VélO Bordeaux,0.7702991448907812,0.835142595833238,0.8786409491012516,US,FR
Bay Wheels SF,Le Vélo Marseille,0.7917682564263794,0.86343636667858,0.7100087124974153,US,FR
Bay Wheels SF,Santander London,0.7701220952343867,0.9330594982020061,0.6172015727666442,US,GB
Bay Wheels SF,Beryl Bournemouth,0.8534297509453656,0.8331003045750124,0.6377514636238139,US,GB
Bay Wheels SF,Beryl Manchester,0.7850358025329065,0.9183505414593321,0.9572899799791269,US,GB
Bay Wheels SF,Nextbike Berlin,0.8963612996055486,0.9422391243438237,0.6709218316942799,US,DE
Bay Wheels SF,Swabi Augsburg,0.8882557843876414,0.9570362185115635,0.7470227276615412,US,DE
Bay Wheels SF,Nextbike Praha,0.8055784359533641,0.9642752290129845,0.6782466195547825,US,CZ
Bay Wheels SF,BiciMAD Madrid,0.8105129942768075,0.9432649693635985,0.8981964327899353,US,ES
Bay Wheels SF,Bicing Barcelona,0.7178541917512177,0.920989031278279,0.7834500605424576,US,ES
