city,atlas,block,N,n_train,n_test,z_kde,dirichlet_unnorm,r2_base,r2_aug,gain
d3_dc_capitalbikeshare,dc_capitalbikeshare,7,765,675,90,2.0499362775869643,0.7931013485145498,-5.5877658857085475,-4.765840171090924,0.8219257146176231
d3_dc_capitalbikeshare,dc_capitalbikeshare,8,765,667,98,2.0499362775869643,0.7931013485145498,-0.263587954480901,-0.32667859256176723,-0.06309063808086623
d3_dc_capitalbikeshare,dc_capitalbikeshare,9,765,721,44,2.0499362775869643,0.7931013485145498,-1.0494991804903515,-0.9796685900696389,0.0698305904207126
d3_sf_baywheels,sf_baywheels,0,552,489,63,-3.1464352207071085,1.093297986562468,-1.0614939942081971,-0.6232523269546095,0.4382416672535876
d3_sf_baywheels,sf_baywheels,1,552,472,80,-3.1464352207071085,1.093297986562468,-2.251660973176071,-3.106338844171848,-0.854677870995777
d3_sf_baywheels,sf_baywheels,2,552,495,57,-3.1464352207071085,1.093297986562468,-2.6533092757179304,-1.5488716433762248,1.1044376323417056
d3_sf_baywheels,sf_baywheels,3,552,482,70,-3.1464352207071085,1.093297986562468,-0.26009495518735326,-0.1228366004254855,0.13725835476186776
d3_sf_baywheels,sf_baywheels,4,552,503,49,-3.1464352207071085,1.093297986562468,-0.05415795483958474,0.2038214634931752,0.25797941833275995
d3_sf_baywheels,sf_baywheels,5,552,496,56,-3.1464352207071085,1.093297986562468,-0.7552938806105838,-0.06358670008729583,0.691707180523288
d3_sf_baywheels,sf_baywheels,6,552,452,100,-3.1464352207071085,1.093297986562468,-0.4512436310962338,-0.16503223522589483,0.28621139587033895
d3_sf_baywheels,sf_baywheels,7,552,536,16,-3.1464352207071085,1.093297986562468,-0.40900727668408443,-0.06079150106810549,0.34821577561597894
d3_sf_baywheels,sf_baywheels,8,552,523,29,-3.1464352207071085,1.093297986562468,0.15127517992305328,0.21933976107593622,0.06806458115288294
