city,atlas,block,block_size,N,z_kde,dirichlet_unnorm,r2_base_block,r2_aug_block,gain_block,eig_energy_test
d10_lyon,world_fr_v_lo_v,-9,51,462,-1.8767363164863284,1.8144369435576382,0.37392655698705857,0.38405765932320146,0.010131102336142894,
d10_lyon,world_fr_v_lo_v,-10,51,462,-1.8767363164863284,1.8144369435576382,0.22961569815599103,0.23655134659485377,0.00693564843886274,
d10_nantes,world_fr_naolib,0,24,123,-3.1963068125432685,2.2957888004855955,-0.37583637237589507,-0.32604934703665833,0.049787025339236735,0.06694935000567524
d10_nantes,world_fr_naolib,1,26,123,-3.1963068125432685,2.2957888004855955,-0.050286759067804665,0.03792151103691477,0.08820827010471943,0.0825841643553112
d10_nantes,world_fr_naolib,2,73,123,-3.1963068125432685,2.2957888004855955,0.013710775782677653,0.11663126386575529,0.10292048808307763,0.1343747382913876
d10_nantes,world_fr_naolib,-1,73,123,-3.1963068125432685,2.2957888004855955,-0.10075376080314569,-0.0065933083547558,0.09416045244838989,
d10_nantes,world_fr_naolib,-2,73,123,-3.1963068125432685,2.2957888004855955,0.01790989870775428,0.05821166125071853,0.04030176254296425,
d10_nantes,world_fr_naolib,-3,73,123,-3.1963068125432685,2.2957888004855955,0.08322926627691196,0.16649401626090654,0.08326474998399458,
d10_toulouse,world_fr_v_l_toulouse,0,49,448,-5.7618865359164335,1.761663509611304,-0.39032325309423954,-0.30706899066509696,0.08325426242914258,0.01547301809623781
d10_toulouse,world_fr_v_l_toulouse,1,35,448,-5.7618865359164335,1.761663509611304,0.2218109911599465,0.342244395942351,0.1204334047824045,0.029212799573146788
d10_toulouse,world_fr_v_l_toulouse,2,42,448,-5.7618865359164335,1.761663509611304,0.10471866386462192,0.02481543195580449,-0.07990323190881743,0.038628040015617995
d10_toulouse,world_fr_v_l_toulouse,3,47,448,-5.7618865359164335,1.761663509611304,-0.40363347653342285,-0.1887564516729836,0.21487702486043925,0.02061085696802075
d10_toulouse,world_fr_v_l_toulouse,4,60,448,-5.7618865359164335,1.761663509611304,0.21755654646022637,0.308509002675328,0.09095245621510162,0.02295559550190067
d10_toulouse,world_fr_v_l_toulouse,5,47,448,-5.7618865359164335,1.761663509611304,0.2645506891456738,0.25478345842824546,-0.009767230717428355,0.017478773343797827
d10_toulouse,world_fr_v_l_toulouse,6,48,448,-5.7618865359164335,1.761663509611304,-0.08130724959042235,-0.13370635266916442,-0.05239910307874207,0.03182699457919133
d10_toulouse,world_fr_v_l_toulouse,7,46,448,-5.7618865359164335,1.761663509611304,-0.15170561772221047,-0.1424022506162823,0.009303367105928162,0.01812075494632038
d10_toulouse,world_fr_v_l_toulouse,8,40,448,-5.7618865359164335,1.761663509611304,-0.566224150830571,-0.6571852619826641,-0.09096111115209315,0.023124040210265654
d10_toulouse,world_fr_v_l_toulouse,9,34,448,-5.7618865359164335,1.761663509611304,0.20533178537696894,0.2012469041208126,-0.0040848812561563586,0.021090981625773036
d10_toulouse,world_fr_v_l_toulouse,-1,34,448,-5.7618865359164335,1.761663509611304,0.3362800541443681,0.3867036577899271,0.05042360364555898,
d10_toulouse,world_fr_v_l_toulouse,-2,34,448,-5.7618865359164335,1.761663509611304,0.5296227089109152,0.5770145234818156,0.04739181457090036,
d10_toulouse,world_fr_v_l_toulouse,-3,34,448,-5.7618865359164335,1.761663509611304,0.46897676438943336,0.580300266921026,0.11132350253159262,
d10_toulouse,world_fr_v_l_toulouse,-4,34,448,-5.7618865359164335,1.761663509611304,0.332018030197754,0.3446825019621206,0.01266447176436658,
d10_toulouse,world_fr_v_l_toulouse,-5,34,448,-5.7618865359164335,1.761663509611304,0.49609880630380765,0.5708285736466304,0.07472976734282277,
d10_toulouse,world_fr_v_l_toulouse,-6,34,448,-5.7618865359164335,1.761663509611304,0.2008127244428518,0.2738151639140194,0.07300243947116758,
d10_toulouse,world_fr_v_l_toulouse,-7,34,448,-5.7618865359164335,1.761663509611304,-0.0038680706957854305,0.007677236037896273,0.011545306733681704,
d10_toulouse,world_fr_v_l_toulouse,-8,34,448,-5.7618865359164335,1.761663509611304,0.4769441064221154,0.5445042933514921,0.06756018692937671,
d10_toulouse,world_fr_v_l_toulouse,-9,34,448,-5.7618865359164335,1.761663509611304,0.34574760991843745,0.37236581929038626,0.02661820937194881,
d10_toulouse,world_fr_v_l_toulouse,-10,34,448,-5.7618865359164335,1.761663509611304,0.5617539756259876,0.5968808778888801,0.0351269022628925,
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,0,40,228,-2.1172463290679917,3.3650517438032357,0.20834597792215004,0.20052542908647164,-0.007820548835678398,0.03663544269508092
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,1,42,228,-2.1172463290679917,3.3650517438032357,-0.12740226392301612,-0.19283792710179015,-0.06543566317877403,0.051789579572679954
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,2,27,228,-2.1172463290679917,3.3650517438032357,-0.15118613970203842,-0.11930537423018261,0.03188076547185581,0.056246702780176544
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,3,32,228,-2.1172463290679917,3.3650517438032357,0.06201164176138951,0.1551166208961715,0.093104979134782,0.03264663421279622
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,4,55,228,-2.1172463290679917,3.3650517438032357,0.04695055095460576,0.03644274542625303,-0.010507805528352732,0.04833641330479444
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,5,32,228,-2.1172463290679917,3.3650517438032357,-0.3889213292462772,-0.4117920805401136,-0.022870751293836422,0.03385668828484881
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,-1,32,228,-2.1172463290679917,3.3650517438032357,0.1437491905397037,0.12361062686090496,-0.020138563678798738,
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,-2,32,228,-2.1172463290679917,3.3650517438032357,0.232021455044906,0.2764661140131335,0.04444465896822747,
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,-3,32,228,-2.1172463290679917,3.3650517438032357,0.04569392932078875,0.13053312316568655,0.0848391938448978,
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,-4,32,228,-2.1172463290679917,3.3650517438032357,0.16101002564408595,0.1807251699514053,0.019715144307319354,
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,-5,32,228,-2.1172463290679917,3.3650517438032357,-0.30114764833763474,-0.22647865572329917,0.07466899261433557,
d10_velo-tbm-bordeaux,world_fr_le_v_lo_par_tbm,-6,32,228,-2.1172463290679917,3.3650517438032357,0.1272104218321478,0.14939144916617908,0.022181027334031267,
d10_vilvolt_epinal,world_fr_vilvolt,0,63,106,3.8399795679778768,2.2796224234586817,0.034863017635611726,-0.18563080647238217,-0.2204938241079939,0.07542147090605193
d10_vilvolt_epinal,world_fr_vilvolt,1,28,106,3.8399795679778768,2.2796224234586817,-0.34302766347637026,-0.18982349791085262,0.15320416556551764,0.06942072143037022
d10_vilvolt_epinal,world_fr_vilvolt,2,15,106,3.8399795679778768,2.2796224234586817,0.1197903376288757,0.12256285091881758,0.0027725132899418803,0.051249718591142766
d10_vilvolt_epinal,world_fr_vilvolt,-1,15,106,3.8399795679778768,2.2796224234586817,0.5410389512241871,0.5561690028027181,0.015130051578530979,
d10_vilvolt_epinal,world_fr_vilvolt,-2,15,106,3.8399795679778768,2.2796224234586817,0.7235822086087811,0.7178848994637232,-0.005697309145057838,
d10_vilvolt_epinal,world_fr_vilvolt,-3,15,106,3.8399795679778768,2.2796224234586817,0.3946173213327998,0.4235458306985419,0.028928509365742094,
d14_montreal_bixi,world_ca_bixi_montr_al,0,43,717,-1.393289033172466,1.1187636169585986,-1.892761229384436,-1.840042476900075,0.05271875248436109,0.006677609374101118
d14_montreal_bixi,world_ca_bixi_montr_al,1,76,717,-1.393289033172466,1.1187636169585986,0.15027514727827251,0.14084480332194338,-0.009430343956329135,0.005016284050282222
d14_montreal_bixi,world_ca_bixi_montr_al,2,110,717,-1.393289033172466,1.1187636169585986,0.004204726414929638,0.06273359904917086,0.058528872634241225,0.00646417479314266
d14_montreal_bixi,world_ca_bixi_montr_al,3,111,717,-1.393289033172466,1.1187636169585986,0.4306739199989852,0.40987668894925455,-0.020797231049730636,0.009967128024199192
d14_montreal_bixi,world_ca_bixi_montr_al,4,26,717,-1.393289033172466,1.1187636169585986,0.4817185153791145,0.4127883186973481,-0.06893019668176636,0.0073994154555992765
d14_montreal_bixi,world_ca_bixi_montr_al,5,112,717,-1.393289033172466,1.1187636169585986,-1.1923993936995987,-1.106113516818299,0.08628587688129974,0.007296087595378489
d14_montreal_bixi,world_ca_bixi_montr_al,6,20,717,-1.393289033172466,1.1187636169585986,-0.6838975715468922,-0.9468237781090258,-0.2629262065621336,0.0007458029721677876
d14_montreal_bixi,world_ca_bixi_montr_al,7,19,717,-1.393289033172466,1.1187636169585986,-12.075624295143228,-11.458154547256447,0.6174697478867817,0.008637102767411642
d14_montreal_bixi,world_ca_bixi_montr_al,8,173,717,-1.393289033172466,1.1187636169585986,0.4990687884964482,0.5324831828886605,0.03341439439221228,0.01815790250918622
d14_montreal_bixi,world_ca_bixi_montr_al,9,27,717,-1.393289033172466,1.1187636169585986,-1.0682244230722588,-1.21107314094266,-0.1428487178704012,0.07444613724214531
d14_montreal_bixi,world_ca_bixi_montr_al,-1,27,717,-1.393289033172466,1.1187636169585986,0.7449560787444659,0.7437774066372048,-0.0011786721072610806,
d14_montreal_bixi,world_ca_bixi_montr_al,-2,27,717,-1.393289033172466,1.1187636169585986,0.4895529028548342,0.4992085770364636,0.009655674181629381,
d14_montreal_bixi,world_ca_bixi_montr_al,-3,27,717,-1.393289033172466,1.1187636169585986,0.7125210654702729,0.724143883454627,0.01162281798435405,
d14_montreal_bixi,world_ca_bixi_montr_al,-4,27,717,-1.393289033172466,1.1187636169585986,0.6778520821113889,0.6931211916563568,0.015269109544967852,
d14_montreal_bixi,world_ca_bixi_montr_al,-5,27,717,-1.393289033172466,1.1187636169585986,0.7013170174709416,0.6896480853868502,-0.011668932084091366,
d14_montreal_bixi,world_ca_bixi_montr_al,-6,27,717,-1.393289033172466,1.1187636169585986,0.5051603236250246,0.5221211564101822,0.016960832785157587,
d14_montreal_bixi,world_ca_bixi_montr_al,-7,27,717,-1.393289033172466,1.1187636169585986,0.6007086873005092,0.6073630932514656,0.006654405950956455,
d14_montreal_bixi,world_ca_bixi_montr_al,-8,27,717,-1.393289033172466,1.1187636169585986,0.5838888403634388,0.5962233632401139,0.012334522876675136,
d14_montreal_bixi,world_ca_bixi_montr_al,-9,27,717,-1.393289033172466,1.1187636169585986,0.679074681800913,0.6823562619178833,0.0032815801169703285,
d14_montreal_bixi,world_ca_bixi_montr_al,-10,27,717,-1.393289033172466,1.1187636169585986,0.553479690462268,0.5723875516809014,0.018907861218633415,
d16_london_tfl,london_tfl,0,73,788,-12.747587995559863,2.2827152518966005,0.09291489261239039,0.10963499374571939,0.016720101133329,0.012487360911479858
d16_london_tfl,london_tfl,1,107,788,-12.747587995559863,2.2827152518966005,0.007148490672229557,-0.04521984684275182,-0.05236833751498138,0.011416053294057673
d16_london_tfl,london_tfl,2,70,788,-12.747587995559863,2.2827152518966005,-0.18056094211966234,-0.08463563326357004,0.0959253088560923,0.011201042485028723
d16_london_tfl,london_tfl,3,83,788,-12.747587995559863,2.2827152518966005,-0.09250896467449898,-0.40717127346566717,-0.3146623087911682,0.01832560342707245
d16_london_tfl,london_tfl,4,69,788,-12.747587995559863,2.2827152518966005,-0.11203683560769706,-0.1424692519942281,-0.030432416386531047,0.010558107214298784
d16_london_tfl,london_tfl,5,70,788,-12.747587995559863,2.2827152518966005,0.04620070308500113,0.05387045194143758,0.0076697488564364535,0.015271606358994707
d16_london_tfl,london_tfl,6,54,788,-12.747587995559863,2.2827152518966005,-0.41770029366137296,-0.4698101921146858,-0.05210989845331282,0.012939292671777004
d16_london_tfl,london_tfl,7,94,788,-12.747587995559863,2.2827152518966005,0.020718257245347482,0.07762755812193489,0.05690930087658741,0.013378312484509571
d16_london_tfl,london_tfl,8,74,788,-12.747587995559863,2.2827152518966005,-0.1365753882173497,-0.28896943719621926,-0.15239404897886955,0.009094944939096789
d16_london_tfl,london_tfl,9,94,788,-12.747587995559863,2.2827152518966005,0.2545529808968663,0.2535343184488419,-0.0010186624480243989,0.01428481350982778
d16_london_tfl,london_tfl,-1,94,788,-12.747587995559863,2.2827152518966005,0.3385944312819943,0.3721293047613269,0.033534873479332594,
d16_london_tfl,london_tfl,-2,94,788,-12.747587995559863,2.2827152518966005,0.21742439098788935,0.25585120884166546,0.03842681785377611,
d16_london_tfl,london_tfl,-3,94,788,-12.747587995559863,2.2827152518966005,0.2414706294356761,0.2999889007144466,0.05851827127877052,
d16_london_tfl,london_tfl,-4,94,788,-12.747587995559863,2.2827152518966005,0.09807466368893714,0.14951503653340348,0.05144037284446634,
