city,atlas,split_id,N,z_kde,r2_spec_inductive
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,9,228,-1.227833831432313,0.5076445216673687
d10_lyon,world_fr_v_lo_v,0,462,-1.8767363164863284,0.36729341784046277
d10_lyon,world_fr_v_lo_v,1,462,-1.8767363164863284,0.3944226534590044
d10_lyon,world_fr_v_lo_v,2,462,-1.8767363164863284,0.3794673094568596
d10_lyon,world_fr_v_lo_v,3,462,-1.8767363164863284,0.42957475712485216
d10_lyon,world_fr_v_lo_v,4,462,-1.8767363164863284,0.43344459345853004
d10_lyon,world_fr_v_lo_v,5,462,-1.8767363164863284,0.3819539214889133
d10_lyon,world_fr_v_lo_v,6,462,-1.8767363164863284,0.3780786451926791
d10_lyon,world_fr_v_lo_v,7,462,-1.8767363164863284,0.4090223547762699
d10_lyon,world_fr_v_lo_v,8,462,-1.8767363164863284,0.3927346938242562
d10_lyon,world_fr_v_lo_v,9,462,-1.8767363164863284,0.42026160419044467
d10_nantes,world_fr_naolib,0,123,-3.1963068125432685,0.2513111246729647
d10_nantes,world_fr_naolib,1,123,-3.1963068125432685,0.3309124615106839
d10_nantes,world_fr_naolib,2,123,-3.1963068125432685,0.3856956612725203
d10_nantes,world_fr_naolib,3,123,-3.1963068125432685,0.3087331254701132
d10_nantes,world_fr_naolib,4,123,-3.1963068125432685,0.3769717502394252
d10_nantes,world_fr_naolib,5,123,-3.1963068125432685,0.4601519232581516
d10_nantes,world_fr_naolib,6,123,-3.1963068125432685,0.15913998442573352
d10_nantes,world_fr_naolib,7,123,-3.1963068125432685,0.16493173864562338
d10_nantes,world_fr_naolib,8,123,-3.1963068125432685,0.3631397605179876
d10_nantes,world_fr_naolib,9,123,-3.1963068125432685,0.2623124600732992
d10_toulouse,world_fr_v_l_toulouse,0,448,-5.7618865359164335,0.34320788024763715
d10_toulouse,world_fr_v_l_toulouse,1,448,-5.7618865359164335,0.42867087077706933
d10_toulouse,world_fr_v_l_toulouse,2,448,-5.7618865359164335,0.3648292270492225
d10_toulouse,world_fr_v_l_toulouse,3,448,-5.7618865359164335,0.3621856573515937
d10_toulouse,world_fr_v_l_toulouse,4,448,-5.7618865359164335,0.4085263448972436
d10_toulouse,world_fr_v_l_toulouse,5,448,-5.7618865359164335,0.3285538565954821
d10_toulouse,world_fr_v_l_toulouse,6,448,-5.7618865359164335,0.40895232235257917
d10_toulouse,world_fr_v_l_toulouse,7,448,-5.7618865359164335,0.4296142756027941
d10_toulouse,world_fr_v_l_toulouse,8,448,-5.7618865359164335,0.35219883678286734
d10_toulouse,world_fr_v_l_toulouse,9,448,-5.7618865359164335,0.3293434119377322
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,0,76,-1.913422593535398,0.0
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,1,76,-1.913422593535398,0.0
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,2,76,-1.913422593535398,0.21378256136575602
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,3,76,-1.913422593535398,0.0
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,4,76,-1.913422593535398,0.10009978716920409
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,5,76,-1.913422593535398,0.22399360721331052
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,6,76,-1.913422593535398,0.0
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,7,76,-1.913422593535398,0.0
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,8,76,-1.913422593535398,0.0
d10_twisto_velolib_caen,world_fr_twisto_v_lolib,9,76,-1.913422593535398,0.20256485995604512
d10_velivert_saint_etienne,world_fr_v_livert,0,97,2.72938324376681,0.5412275847112051
d10_velivert_saint_etienne,world_fr_v_livert,1,97,2.72938324376681,0.4998560140566075
d10_velivert_saint_etienne,world_fr_v_livert,2,97,2.72938324376681,0.505159972339906
d10_velivert_saint_etienne,world_fr_v_livert,3,97,2.72938324376681,0.5820850702899547
d10_velivert_saint_etienne,world_fr_v_livert,4,97,2.72938324376681,0.3997631260472715
d10_velivert_saint_etienne,world_fr_v_livert,5,97,2.72938324376681,0.4725809848759557
