,Citi Bike NYC,Divvy Chicago,Capital DC,Bay Wheels SF,Bluebikes Boston,Biketown Portland,BIXI Montréal,Bike Share Toronto,Vélib Paris,Vélo'v Lyon,VéLÔ Toulouse,Le VélO Bordeaux,Le Vélo Marseille,Santander London,Beryl Bournemouth,Beryl Manchester,Nextbike Berlin,Swabi Augsburg,Nextbike Praha,BiciMAD Madrid,Bicing Barcelona,Valenbisi València,BikeMi Milan,Villo Bruxelles,Velo Antwerpen,Metrorower,Mevo Gdańsk,Velospot CH,Ecobici Ciudad de Mexico,Ecobici Buenos Aires,Bike Itaú Rio
Beryl Bournemouth,0.8022316543067155,0.5801274346783852,0.8350980192798241,0.7304801138172893,0.6210058073860979,0.6206395332413486,0.7330436457424693,0.7269998307278405,0.5334822964839273,0.7081080073827095,0.636815197657546,0.8520586122195826,0.8256671710722608,0.4775046148413792,1.0,0.7331837623858001,0.7945165802515795,0.8049711677989287,0.8250448010359311,0.5713942935168631,0.5281061718371651,0.6824217772904814,0.6056191592585203,0.525771092476112,0.5525531498481319,0.8867808263268311,0.8627987719696208,0.8348258563712166,0.44124686792411033,0.5243926991987592,0.8929949024200773
Beryl Manchester,0.6998389235464141,0.7644494767228597,0.681385681120276,0.9390768431344041,0.8363447956120887,0.7771320057065416,0.6594193425859899,0.7339508483590903,0.5054341426025251,0.6551255068146036,0.748615952475977,0.818443855646898,0.7783472123258007,0.6467147879580439,0.7331837623858001,1.0,0.6786346632519986,0.828667615520127,0.6618928100527759,0.7570496431190221,0.7138922776138316,0.6482493683862404,0.7997202875833795,0.7131874056558483,0.7509979199367129,0.7018747640695121,0.6708269102131408,0.6533227021468604,0.5976696948372596,0.7064260624491914,0.7435729312666817
Nextbike Berlin,0.8953180307475186,0.6634774294189126,0.9079930877643044,0.685150637228545,0.66382689912819,0.5437500769785995,0.8941180845043945,0.84169033836312,0.654437126738372,0.8465591342177692,0.7103772278707358,0.7965873225159219,0.8352031824056335,0.5460165406088008,0.7945165802515795,0.6786346632519986,1.0,0.8159287839176633,0.8539664582422433,0.6515867806710328,0.6025034876050527,0.7729548375301319,0.650990243588674,0.5740879708397931,0.573690909288845,0.8526676624999764,0.8103019382956447,0.7714374545484012,0.5040637206452413,0.5875299898517148,0.8641855859733307
Swabi Augsburg,0.839735510874632,0.7193117570711467,0.8122675120590817,0.8344540323791816,0.7701706725832849,0.6607386645337616,0.7851491235891085,0.8573934518555129,0.5760432234799262,0.752099648199234,0.7888983128124926,0.8741651580812189,0.8335810569537391,0.5922446733688149,0.8049711677989287,0.828667615520127,0.8159287839176633,1.0,0.7684010582144549,0.7087149491765681,0.6551470848111944,0.7373235697268472,0.7513484958262873,0.6523797692638531,0.6830311290144938,0.7855443539765051,0.7525629094962408,0.7171917089016794,0.5472427466369312,0.6503120076600882,0.8129597528942495
Nextbike Praha,0.8330713212254447,0.5750708315976502,0.9145200789084369,0.6793461097542772,0.6070873885765431,0.547448459264064,0.7858661525857991,0.726726587764481,0.5702830314032774,0.7548246822432941,0.6258977007063242,0.7947788395219686,0.8019747349745072,0.47468754223030674,0.8250448010359311,0.6618928100527759,0.8539664582422433,0.7684010582144549,1.0,0.5660488568709965,0.5241444799110792,0.6957207001345224,0.5898450497054064,0.5156912610430318,0.5306836334382122,0.9206045869196251,0.910681301764344,0.8957528868590973,0.4386831092233182,0.518886706901304,0.8616259710025139
BiciMAD Madrid,0.643473018430475,0.8881005442572092,0.6001315233849344,0.7641342433879761,0.7944141044646483,0.6044521833945328,0.7037759615159639,0.7722183260885187,0.6434048547224385,0.7240406645510856,0.8857490489609211,0.6339239014356659,0.6341256864456359,0.8354668780342672,0.5713942935168631,0.7570496431190221,0.6515867806710328,0.7087149491765681,0.5660488568709965,1.0,0.9036591852303365,0.7319544700192708,0.8934169620443798,0.8187804123681511,0.7486787960506387,0.5618629815241164,0.5350703147364628,0.5116750612761793,0.7719613641896502,0.8754056940223071,0.578715128759906
Bicing Barcelona,0.5953889658134545,0.8224266745462958,0.5547698760206279,0.7209927302431087,0.8124803309350127,0.622268530162787,0.6479561941994187,0.7126468460511042,0.5943647006540327,0.6693957634401524,0.8283713632673827,0.587224039687511,0.5865008116873867,0.9008742601073092,0.5281061718371651,0.7138922776138316,0.6025034876050527,0.6551470848111944,0.5241444799110792,0.9036591852303365,1.0,0.7125332863356698,0.8696922629949576,0.8959986584044599,0.7821828929761997,0.5202958238120653,0.49496998489933863,0.4740394088082452,0.8347505825831376,0.9466372738473342,0.5351781782698164
Valenbisi València,0.7474017202185075,0.6814066688725345,0.7508047898443793,0.657104557725962,0.6655361068005898,0.5089319888791055,0.8021089813725101,0.7811612260791989,0.7224975491901724,0.8873258452181795,0.8200158970409465,0.708553462903213,0.7993675117384864,0.6436945325567133,0.6824217772904814,0.6482493683862404,0.7729548375301319,0.7373235697268472,0.6957207001345224,0.7319544700192708,0.7125332863356698,1.0,0.7770375176217185,0.710526374006168,0.6384905744175593,0.7022451311770275,0.6754525259799162,0.6471205112319584,0.5969372473571869,0.704151902165339,0.730659913942355
BikeMi Milan,0.6556384286603679,0.8102591556173432,0.6290493488913943,0.8118609077430017,0.850337256048212,0.6518974240109165,0.6708167816995696,0.7480345072192541,0.5852750964499245,0.7216733897038293,0.8835306090161065,0.6743839119196554,0.6737685274986731,0.7868710134483613,0.6056191592585203,0.7997202875833795,0.650990243588674,0.7513484958262873,0.5898450497054064,0.8934169620443798,0.8696922629949576,0.7770375176217185,1.0,0.8675935414443268,0.8155813478083669,0.5954249379691416,0.5685567097151397,0.544262834110691,0.7271866687690899,0.864079134797558,0.6134297037176151
Villo Bruxelles,0.574928798276419,0.7512539156060948,0.5499112626803906,0.7187804275896073,0.8422157663562504,0.6877107395764022,0.6003278928597365,0.6669816191180725,0.5337282810827111,0.6516091941577363,0.7992998471075243,0.5867889837570168,0.5851144762941026,0.898184169046386,0.525771092476112,0.7131874056558483,0.5740879708397931,0.6523797692638531,0.5156912610430318,0.8187804123681511,0.8959986584044599,0.710526374006168,0.8675935414443268,1.0,0.8650649497160217,0.5180626976956356,0.49406773793978276,0.4739175706900226,0.8370024689607385,0.9172824978415834,0.5325622915114022
Velo Antwerpen,0.5844450303225449,0.7066665316684906,0.5615116980802545,0.7543190396099374,0.8629762122121132,0.7912152761514334,0.5787759131290374,0.6474762108986198,0.4822291112183966,0.6106609480544509,0.7288596604863123,0.6181965236510506,0.615953408454128,0.8104410894304136,0.5525531498481319,0.7509979199367129,0.573690909288845,0.6830311290144938,0.5306836334382122,0.7486787960506387,0.7821828929761997,0.6384905744175593,0.8155813478083669,0.8650649497160217,1.0,0.5429209642220293,0.5194887461796196,0.49956170962223356,0.7921463735132296,0.8085582644279266,0.560029559111258
Metrorower,0.8135106096672057,0.5706733410445911,0.9078545349569387,0.7135166683940072,0.6117911003612333,0.5851953695956357,0.7760987643800686,0.7219887285124262,0.5640956372784561,0.7511550602292291,0.6239459785533455,0.8437728080955172,0.8434293264003393,0.4711564596697035,0.8867808263268311,0.7018747640695121,0.8526676624999764,0.7855443539765051,0.9206045869196251,0.5618629815241164,0.5202958238120653,0.7022451311770275,0.5954249379691416,0.5180626976956356,0.5429209642220293,1.0,0.9337614375324889,0.8970461919571654,0.4355123072573049,0.516480255246227,0.9254268062681065
Mevo Gdańsk,0.7881680828218014,0.5433821055792577,0.8793369714239175,0.6831760141413813,0.5826562716227328,0.5601705459889769,0.7342496855924925,0.6885312300825122,0.5377277125609073,0.7222162668912957,0.5960150945224062,0.8032968391002121,0.8014534880295765,0.4480683976888918,0.8627987719696208,0.6708269102131408,0.8103019382956447,0.7525629094962408,0.910681301764344,0.5350703147364628,0.49496998489933863,0.6754525259799162,0.5685567097151397,0.49406773793978276,0.5194887461796196,0.9337614375324889,1.0,0.9365425279951306,0.41441448978641615,0.49174250981805545,0.882818835174739
Velospot CH,0.7549880656430997,0.519434913354588,0.8356727504008346,0.6550474588734754,0.5585437948255426,0.5478134446860597,0.7109981247504581,0.6566587692571274,0.5177783808340355,0.6928930307839717,0.5692288527627015,0.7876641079419107,0.7862851967532902,0.429589307946386,0.8348258563712166,0.6533227021468604,0.7714374545484012,0.7171917089016794,0.8957528868590973,0.5116750612761793,0.4740394088082452,0.6471205112319584,0.544262834110691,0.4739175706900226,0.49956170962223356,0.8970461919571654,0.9365425279951306,1.0,0.3977475043883042,0.4713310460002934,0.8549154621962798
Ecobici Ciudad de Mexico,0.49925284720606367,0.728348397102729,0.46357003762588156,0.6023709106498444,0.710018557624533,0.6504858206005968,0.5477642160725652,0.5978148773476541,0.5537230560776212,0.5595558225660705,0.6920777831252198,0.49219218035521617,0.49031269958297796,0.9200026790439584,0.44124686792411033,0.5976696948372596,0.5040637206452413,0.5472427466369312,0.4386831092233182,0.7719613641896502,0.8347505825831376,0.5969372473571869,0.7271866687690899,0.8370024689607385,0.7921463735132296,0.4355123072573049,0.41441448978641615,0.3977475043883042,1.0,0.8407991147614825,0.44713185049608695
Ecobici Buenos Aires,0.5831270700033472,0.7915401031157009,0.5507670650592507,0.7145672108815907,0.8236061593516542,0.6422092015782349,0.6249139600579329,0.6894365944349083,0.5784473129832756,0.6648434410071346,0.8225227664733997,0.5837433941357607,0.5825868644613733,0.9051683326173198,0.5243926991987592,0.7064260624491914,0.5875299898517148,0.6503120076600882,0.518886706901304,0.8754056940223071,0.9466372738473342,0.704151902165339,0.864079134797558,0.9172824978415834,0.8085582644279266,0.516480255246227,0.49174250981805545,0.4713310460002934,0.8407991147614825,1.0,0.5310703686457482
Bike Itaú Rio,0.8182906237988706,0.5877302478366522,0.8855900243750224,0.7394035060246645,0.6289802831490143,0.6160098152160914,0.7910507684017793,0.7449841172452593,0.5801503098174232,0.7718635039375947,0.6438972851183627,0.8873403917048597,0.8863467666532115,0.48388341212900227,0.8929949024200773,0.7435729312666817,0.8641855859733307,0.8129597528942495,0.8616259710025139,0.578715128759906,0.5351781782698164,0.730659913942355,0.6134297037176151,0.5325622915114022,0.560029559111258,0.9254268062681065,0.882818835174739,0.8549154621962798,0.44713185049608695,0.5310703686457482,1.0
