city,split_id,N,z_kde,dirichlet_y,r2_base,r2_aug,gain
d10_lyon,0,462,-1.8767363164863284,0.5412526386157657,0.4735347242435721,0.4925895421683816,0.019054817924809453
d10_lyon,1,462,-1.8767363164863284,0.5412526386157657,0.3579254867348469,0.37383760654619336,0.015912119811346437
d10_lyon,2,462,-1.8767363164863284,0.5412526386157657,0.45517203403560846,0.472173284971074,0.01700125093546556
d10_lyon,3,462,-1.8767363164863284,0.5412526386157657,0.42300691473157603,0.4379159127365907,0.014908998005014662
d10_lyon,4,462,-1.8767363164863284,0.5412526386157657,0.41468838481812786,0.4147055382520428,1.71534339149515e-05
d10_lyon,5,462,-1.8767363164863284,0.5412526386157657,0.4304313432580211,0.44973774948826706,0.01930640623024593
d10_lyon,6,462,-1.8767363164863284,0.5412526386157657,0.47398306428315107,0.498391567307941,0.024408503024789918
d10_lyon,7,462,-1.8767363164863284,0.5412526386157657,0.4065223446868781,0.4345821561341252,0.02805981144724712
d10_lyon,8,462,-1.8767363164863284,0.5412526386157657,0.5233735975180873,0.5338234572561047,0.010449859738017375
d10_lyon,9,462,-1.8767363164863284,0.5412526386157657,0.48461081871694145,0.5085356958736433,0.023924877156701885
d10_nantes,0,123,-3.1963068125432685,0.5784674595395435,0.17779035848557645,0.2948931652661234,0.11710280678054696
d10_nantes,1,123,-3.1963068125432685,0.5784674595395435,0.07441170945381226,0.2111118063788825,0.13670009692507024
d10_nantes,2,123,-3.1963068125432685,0.5784674595395435,0.056737213997590796,0.11818062599397927,0.061443411996388475
d10_nantes,3,123,-3.1963068125432685,0.5784674595395435,0.05558766077567334,0.1080344656215162,0.052446804845842854
d10_nantes,4,123,-3.1963068125432685,0.5784674595395435,0.298719064710385,0.39077501016917615,0.09205594545879114
d10_nantes,5,123,-3.1963068125432685,0.5784674595395435,0.03963085207381534,0.20258433267612008,0.16295348060230475
d10_nantes,6,123,-3.1963068125432685,0.5784674595395435,0.1829357813799647,0.2791347503062246,0.0961989689262599
d10_nantes,7,123,-3.1963068125432685,0.5784674595395435,0.1672616934547727,0.31017430330954743,0.14291260985477472
d10_nantes,8,123,-3.1963068125432685,0.5784674595395435,0.3427562506560142,0.3907380175490366,0.04798176689302236
d10_nantes,9,123,-3.1963068125432685,0.5784674595395435,0.0791471074901069,0.12426277003380992,0.04511566254370303
d10_toulouse,0,448,-5.7618865359164335,0.4532939000109151,0.39141185051170024,0.44985602841169636,0.05844417789999612
d10_toulouse,1,448,-5.7618865359164335,0.4532939000109151,0.39884119644823934,0.4668876460707061,0.06804644962246675
d10_toulouse,2,448,-5.7618865359164335,0.4532939000109151,0.41361947782583386,0.5161226045180245,0.10250312669219064
d10_toulouse,3,448,-5.7618865359164335,0.4532939000109151,0.23348924206278254,0.28756078894942094,0.0540715468866384
d10_toulouse,4,448,-5.7618865359164335,0.4532939000109151,0.1972068073863953,0.24492028415002332,0.04771347676362803
d10_toulouse,5,448,-5.7618865359164335,0.4532939000109151,0.3246625519372639,0.3639032593718666,0.03924070743460273
d10_toulouse,6,448,-5.7618865359164335,0.4532939000109151,0.31843545912893356,0.37529052763306636,0.0568550685041328
d10_toulouse,7,448,-5.7618865359164335,0.4532939000109151,0.41183313981778025,0.46268740356796834,0.05085426375018809
d10_toulouse,8,448,-5.7618865359164335,0.4532939000109151,0.4083019567946976,0.45462476035637767,0.04632280356168006
d10_toulouse,9,448,-5.7618865359164335,0.4532939000109151,0.3083860321944343,0.3695690490660859,0.06118301687165162
d10_twisto_velolib_caen,0,76,-1.913422593535398,0.8251003180619085,0.0227475788223237,0.05332887327567093,0.03058129445334723
d10_twisto_velolib_caen,1,76,-1.913422593535398,0.8251003180619085,-0.24444135284984814,-0.19644596675463544,0.0479953860952127
d10_twisto_velolib_caen,2,76,-1.913422593535398,0.8251003180619085,-0.18728131223210376,-0.1124532213270315,0.07482809090507225
d10_twisto_velolib_caen,3,76,-1.913422593535398,0.8251003180619085,0.13529493504910173,0.17660320599694523,0.041308270947843506
d10_twisto_velolib_caen,4,76,-1.913422593535398,0.8251003180619085,0.25116697655440234,0.1942377076154872,-0.056929268938915145
d10_twisto_velolib_caen,5,76,-1.913422593535398,0.8251003180619085,0.17254172177750493,0.22145742354919906,0.04891570177169413
d10_twisto_velolib_caen,6,76,-1.913422593535398,0.8251003180619085,-0.31999975988210094,-0.22848764412253142,0.09151211575956952
d10_twisto_velolib_caen,7,76,-1.913422593535398,0.8251003180619085,0.026660409477633706,0.0054342417900591355,-0.02122616768757457
d10_twisto_velolib_caen,8,76,-1.913422593535398,0.8251003180619085,0.009770943448183411,0.049515674297192946,0.039744730849009535
d10_twisto_velolib_caen,9,76,-1.913422593535398,0.8251003180619085,0.12928436066121685,0.1340668426398065,0.004782481978589659
d10_velivert_saint_etienne,0,97,2.72938324376681,0.4400028257620356,0.5882520606892041,0.5667371398863366,-0.021514920802867543
d10_velivert_saint_etienne,1,97,2.72938324376681,0.4400028257620356,0.5870764111854688,0.6294724958194369,0.042396084633968045
d10_velivert_saint_etienne,2,97,2.72938324376681,0.4400028257620356,0.6251475020994556,0.670549213598018,0.045401711498562425
d10_velivert_saint_etienne,3,97,2.72938324376681,0.4400028257620356,0.5326540987289207,0.5207613784330238,-0.01189272029589683
d10_velivert_saint_etienne,4,97,2.72938324376681,0.4400028257620356,0.4453946081743916,0.5068712728331395,0.061476664658747904
d10_velivert_saint_etienne,5,97,2.72938324376681,0.4400028257620356,0.5558209654970667,0.591108779921476,0.035287814424409314
d10_velivert_saint_etienne,6,97,2.72938324376681,0.4400028257620356,0.6931166349121236,0.7163233841479755,0.023206749235851865
d10_velivert_saint_etienne,7,97,2.72938324376681,0.4400028257620356,0.3519178096712092,0.41079414176452156,0.058876332093312334
d10_velivert_saint_etienne,8,97,2.72938324376681,0.4400028257620356,0.7201584468802444,0.7532012970750701,0.03304285019482567
d10_velivert_saint_etienne,9,97,2.72938324376681,0.4400028257620356,0.4091819553930607,0.44874168522190816,0.03955972982884748
d10_velo-tbm-bordeaux,0,228,-2.1172463290679917,0.8169880607297554,0.2816680269174314,0.2976270042358904,0.015958977318458967
d10_velo-tbm-bordeaux,1,228,-2.1172463290679917,0.8169880607297554,0.12374748134220659,0.11274317980093085,-0.01100430154127574
d10_velo-tbm-bordeaux,2,228,-2.1172463290679917,0.8169880607297554,0.15217998293866863,0.19352947724529446,0.04134949430662582
d10_velo-tbm-bordeaux,3,228,-2.1172463290679917,0.8169880607297554,0.1799789829671492,0.20278005386496933,0.02280107089782013
d10_velo-tbm-bordeaux,4,228,-2.1172463290679917,0.8169880607297554,0.10036782262154331,0.15730976512359374,0.056941942502050424
d10_velo-tbm-bordeaux,5,228,-2.1172463290679917,0.8169880607297554,0.17534598050178218,0.17313313968986177,-0.0022128408119204135
d10_velo-tbm-bordeaux,6,228,-2.1172463290679917,0.8169880607297554,0.01362916510868284,0.05932597603638823,0.04569681092770539
