city_a,city_b,median,lower,upper,ci_width
Divvy Chicago,Ecobici Ciudad de Mexico,0.7293244719834788,0.5995023851162947,0.8725349388260364,0.27303255370974167
Citi Bike NYC,Villo Bruxelles,0.7287291752042946,0.6253408396448895,0.8478988232670895,0.22255798362220003
BIXI Montréal,Beryl Bournemouth,0.72787885296352,0.5708089620259388,0.7956024344389193,0.22479347241298053
Vélo'v Lyon,Beryl Bournemouth,0.7277318658872791,0.568486274570316,0.8131551282487851,0.24466885367846913
BIXI Montréal,Vélib Paris,0.7272591023026989,0.6728035229628976,0.7806767616185241,0.10787323865562648
Nextbike Berlin,Velospot CH,0.7264617814043014,0.6669133262808169,0.7675726716636053,0.10065934538278842
Bike Share Toronto,Mevo Gdańsk,0.7259885429134829,0.6253251917347301,0.7792215741857487,0.15389638245101855
Swabi Augsburg,Bike Itaú Rio,0.725976073858296,0.5955096092061694,0.877365390014655,0.2818557808084856
Le Vélo Marseille,Valenbisi València,0.7258822750193611,0.5351141095040833,0.855652552589088,0.3205384430850047
Bluebikes Boston,BiciMAD Madrid,0.7257512021859571,0.5998383162776912,0.8587513453782669,0.2589130291005757
Le Vélo Marseille,BiciMAD Madrid,0.724550102851986,0.574721264524286,0.8098067104342901,0.23508544591000413
Beryl Manchester,BikeMi Milan,0.7240340531664828,0.5770259947769675,0.8715681618389227,0.29454216706195524
Le VélO Bordeaux,Valenbisi València,0.7240153299263006,0.5513595008346482,0.8382253224478488,0.2868658216132005
Vélo'v Lyon,Swabi Augsburg,0.7229622175485527,0.5934183840693389,0.8473045024195417,0.2538861183502028
Bluebikes Boston,Metrorower,0.7216220445680933,0.615747332069866,0.8971766958486999,0.2814293637788339
Divvy Chicago,Vélib Paris,0.7212196195623415,0.6178887247216813,0.8481950124204676,0.23030628769878625
Vélib Paris,Nextbike Berlin,0.719804838256972,0.6684248389256253,0.7696740485366531,0.10124920961102779
Citi Bike NYC,Metrorower,0.7197486405824032,0.5766662431774928,0.795833638390492,0.21916739521299922
Citi Bike NYC,Capital DC,0.7197029813919024,0.5718214487537169,0.7900579583823316,0.21823650962861474
Citi Bike NYC,Beryl Manchester,0.7186876225951371,0.5935713867061193,0.8161647539073213,0.22259336720120204
Citi Bike NYC,Nextbike Praha,0.7186551351088979,0.5808562876160626,0.769379012947202,0.18852272533113945
Le VélO Bordeaux,BikeMi Milan,0.7186547337091952,0.552466842626583,0.8312094434318043,0.2787426008052213
Santander London,BikeMi Milan,0.718508197283818,0.5483791423001272,0.8684860114688752,0.320106869168748
Bay Wheels SF,Bike Itaú Rio,0.7180190274186751,0.6102861914555255,0.8813186084720088,0.2710324170164833
VéLÔ Toulouse,Beryl Bournemouth,0.717164345523855,0.5685650409530281,0.8009984597768484,0.2324334188238203
BiciMAD Madrid,Bicing Barcelona,0.7171169108138973,0.624401410194389,0.9321822522905324,0.3077808420961434
Citi Bike NYC,Beryl Bournemouth,0.7157683530561406,0.5910011150140683,0.7900458626892493,0.199044747675181
Swabi Augsburg,Nextbike Praha,0.7156342094661585,0.6076737030351532,0.8216357826358074,0.21396207960065416
Bay Wheels SF,Ecobici Buenos Aires,0.7154855453656999,0.5617631760305436,0.8075641054310178,0.24580092940047416
Beryl Manchester,Ecobici Buenos Aires,0.7154503683975504,0.5863460786425759,0.8131649861059642,0.2268189074633883
Divvy Chicago,Swabi Augsburg,0.7149846053502238,0.598005683160362,0.7955346525362365,0.1975289693758745
Bluebikes Boston,BIXI Montréal,0.7148842458706566,0.6044180161749289,0.8538448366210822,0.24942682044615339
Citi Bike NYC,Bicing Barcelona,0.7140714547652006,0.624859247218506,0.8603916193011113,0.23553237208260525
BIXI Montréal,Swabi Augsburg,0.7139622043901609,0.595746800572221,0.8289071728595983,0.2331603722873773
Citi Bike NYC,Bay Wheels SF,0.7131444157063188,0.6056782714442844,0.8018556531135417,0.19617738166925724
Beryl Bournemouth,Valenbisi València,0.7127652000511406,0.5388254238135906,0.8114501387190384,0.2726247149054478
Divvy Chicago,Valenbisi València,0.7125026723582364,0.5625326743119654,0.8128456234261506,0.2503129491141852
Capital DC,Bluebikes Boston,0.7120030250465788,0.5968453625124912,0.874934083283341,0.2780887207708498
Santander London,Valenbisi València,0.7099104000028924,0.5870452685198958,0.8624668498259302,0.27542158130603445
