city_a,city_b,median,lower,upper,ci_width
Swabi Augsburg,BikeMi Milan,0.7580788081422775,0.590442980250309,0.8829532535687447,0.2925102733184357
Beryl Bournemouth,Velospot CH,0.7574318434768978,0.5954654429669471,0.8363034881123182,0.2408380451453711
Valenbisi València,Velo Antwerpen,0.7569780365646803,0.6110988288789928,0.9367954445955088,0.325696615716516
Bike Share Toronto,BikeMi Milan,0.7566517986101043,0.5725781377528233,0.8719086893003286,0.2993305515475053
Bicing Barcelona,BikeMi Milan,0.7561876865756147,0.5683771732348033,0.8817562051146819,0.3133790318798786
Beryl Bournemouth,Nextbike Berlin,0.7550184125363892,0.5692356200329345,0.8334490588857473,0.2642134388528128
Vélo'v Lyon,Bike Itaú Rio,0.754932806507195,0.640724623473654,0.821351436625263,0.180626813151609
Biketown Portland,Villo Bruxelles,0.7545465361315772,0.6114578073011883,0.8416502112080064,0.23019240390681817
Citi Bike NYC,Ecobici Buenos Aires,0.7544443103070271,0.6240128004400941,0.8508426736987773,0.2268298732586832
Le VélO Bordeaux,Nextbike Berlin,0.7516483600923143,0.6189169194839107,0.8220190969968902,0.20310217751297954
Swabi Augsburg,Metrorower,0.7515185356694378,0.6328827618535484,0.8800553886917895,0.24717262683824104
Vélo'v Lyon,Mevo Gdańsk,0.7514137744367682,0.6958166920802623,0.8043734687874342,0.1085567767071719
Bluebikes Boston,Vélo'v Lyon,0.7509850306523214,0.6368108353652289,0.8992475151946787,0.26243667982944985
Biketown Portland,Le Vélo Marseille,0.7504094253811031,0.6158699715009187,0.930269090659528,0.3143991191586093
Le VélO Bordeaux,Velospot CH,0.7493953139305256,0.6193230277354738,0.8410442236969208,0.22172119596144702
Divvy Chicago,Bike Share Toronto,0.749341322898282,0.6272452245926724,0.876189674542406,0.24894444994973364
Valenbisi València,Metrorower,0.7488196564603,0.5184348664331091,0.8237346318358142,0.3052997654027051
Bluebikes Boston,Bike Share Toronto,0.7484579140481267,0.6183182543926059,0.8997635451325352,0.2814452907399293
Swabi Augsburg,Valenbisi València,0.7473607607046119,0.6140323639338782,0.8606454302409546,0.24661306630707647
Divvy Chicago,Bluebikes Boston,0.7471483229223899,0.6172895174411848,0.8239211906928591,0.2066316732516743
Citi Bike NYC,Le VélO Bordeaux,0.7470029594887108,0.6128167103682755,0.808370227906674,0.19555351753839856
Bicing Barcelona,Valenbisi València,0.7461581609353813,0.5999958720403362,0.894527896956115,0.2945320249157788
Citi Bike NYC,Valenbisi València,0.7452380325547063,0.5969512649398795,0.8284002128092463,0.23144894786936676
Nextbike Berlin,BikeMi Milan,0.7441201422878659,0.5551369138286335,0.8526543865564756,0.2975174727278421
Vélib Paris,Vélo'v Lyon,0.7435181465414231,0.677543476189137,0.7905149737598298,0.1129714975706928
BiciMAD Madrid,Metrorower,0.7432388499487925,0.5742426407620878,0.8131870829868316,0.23894444222474387
Bike Share Toronto,Vélib Paris,0.7428317168084371,0.6551651922112631,0.8087379362462406,0.15357274403497745
VéLÔ Toulouse,Santander London,0.742559199773493,0.5931681049489396,0.8872167556798212,0.2940486507308816
BIXI Montréal,Valenbisi València,0.7420647079602323,0.5257667396238825,0.8068059156882552,0.2810391760643727
Bike Share Toronto,Le VélO Bordeaux,0.7419519011846292,0.6218559299721946,0.8178566916754909,0.19600076170329628
Le Vélo Marseille,BikeMi Milan,0.741582499922478,0.5722464330286803,0.8745157555963877,0.30226932256770744
Capital DC,Valenbisi València,0.7405746664106293,0.5083514998741706,0.8074160357246782,0.29906453585050763
VéLÔ Toulouse,Le Vélo Marseille,0.7403883088159029,0.6082291084063599,0.8488824633552983,0.24065335494893836
Divvy Chicago,Villo Bruxelles,0.7400842360508184,0.5954252424928618,0.829445915468983,0.23402067297612128
Bluebikes Boston,Bicing Barcelona,0.7394192718141044,0.5959585208396017,0.8386100542477674,0.2426515334081657
Bike Share Toronto,Swabi Augsburg,0.7393389012777702,0.5893369085875753,0.8639083405672446,0.2745714319796694
VéLÔ Toulouse,Velo Antwerpen,0.7389625423509816,0.592446599953727,0.8839132701945727,0.2914666702408457
BIXI Montréal,VéLÔ Toulouse,0.7389497890051262,0.6161834695406915,0.8483528152220153,0.23216934568132386
Bike Share Toronto,Bike Itaú Rio,0.7385493009549644,0.6281207103711471,0.8105563169742483,0.1824356066031012
